Instance Name, CC2 Result, CC2 (Concurrent Enabled) Result
./nestedMerge/EQ_is_prime3EQ_pos2/libA , equiv; 0.520000, equiv; 0.573200
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA , equiv; 78.445000, equiv; 45.672500
./nestedMerge/EQ_ltfiveBoundEQ_LoopMult20/libA , equiv; 1.024700, equiv; 1.349500
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA , equiv; 0.256600, equiv; 0.378300
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA , equiv; 1.869100, equiv; 2.085800
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA , equiv; 25.155800, equiv; 31.321900
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA , equiv; 0.436500, equiv; 0.581000
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA , equiv; 145.434900, equiv; 83.162200
./nestedMerge/EQ_ltfiveEQ_LoopMult20/libA , equiv; 1.057700, equiv; 1.403300
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA , equiv; 0.238500, equiv; 0.383400
./nestedMerge/EQ_ltfiveEQ_odd/libA , equiv; 22.883200, equiv; 23.888700
./nestedMerge/EQ_ltfiveEQ_pos/libA , equiv; 27.328300, equiv; 31.237900
./nestedMerge/EQ_ltfiveEQ_pos2/libA , equiv; 0.395800, equiv; 0.615700
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA , equiv; 145.244000, equiv; 83.041600
./nestedMerge/EQ_multipleBoundEQ_LoopMult20/libA , equiv; 1.016800, equiv; 0.982500
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA , equiv; 40.292900, equiv; 40.310800
./nestedMerge/EQ_multipleBoundEQ_odd/libA , equiv; 12.275900, equiv; 12.313000
./nestedMerge/EQ_multipleBoundEQ_pos/libA , equiv; 22.281200, equiv; 23.979100
./nestedMerge/EQ_multipleBoundEQ_pos2/libA , equiv; 0.309300, equiv; 0.432100
./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA , equiv; 82.938400, equiv; 61.367600
./nestedMerge/EQ_multipleEQ_LoopMult20/libA , equiv; 2.133900, equiv; 2.067600
./nestedMerge/EQ_multipleEQ_UnchLoop/libA , equiv; 40.330900, equiv; 40.640200
./nestedMerge/EQ_multipleEQ_odd/libA , equiv; 15.675600, equiv; 15.797000
./nestedMerge/EQ_multipleEQ_pos/libA , equiv; 12.889200, equiv; 13.460300
./nestedMerge/EQ_multipleEQ_pos2/libA , equiv; 0.764700, equiv; 0.746900
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA , equiv; 88.875200, equiv; 63.557400
./nestedMerge/EQ_oddEQ_Add/libA , equiv; 0.182800, equiv; 0.152200
./nestedMerge/EQ_oddEQ_Const/libA , equiv; 0.164600, equiv; 0.163800
./nestedMerge/EQ_oddEQ_LoopMult20/libA , equiv; 1.979100, equiv; 2.015000
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA , equiv; 1.205600, equiv; 1.259500
./nestedMerge/EQ_oddEQ_UnchLoop/libA , equiv; 40.334600, equiv; 40.613800
./nestedMerge/EQ_oddEQ_divide/libA , equiv; 0.440400, equiv; 0.442500
./nestedMerge/EQ_oddEQ_getSign2/libA , equiv; 2.847000, equiv; 2.707800
./nestedMerge/EQ_oddEQ_is_prime1/libA , equiv; 2.884300, equiv; 2.761400
./nestedMerge/EQ_oddEQ_is_prime2/libA , not equiv; 3.264400, not equiv; 4.451400
./nestedMerge/EQ_oddEQ_is_prime3/libA , equiv; 7.030400, equiv; 52.372400
./nestedMerge/EQ_oddEQ_ltfive/libA , not equiv; 1.771900, not equiv; 2.151500
./nestedMerge/EQ_oddEQ_ltfiveBound/libA , equiv; 1.223200, equiv; 1.400700
./nestedMerge/EQ_oddEQ_multiple/libA , not equiv; 1.334600, not equiv; 1.114400
./nestedMerge/EQ_oddEQ_multipleBound/libA , equiv; 2.821400, equiv; 2.833800
./nestedMerge/EQ_oddEQ_odd/libA , equiv; 15.697500, equiv; 15.825800
./nestedMerge/EQ_oddEQ_one/libA , not equiv; 1.829800, not equiv; 2.033600
./nestedMerge/EQ_oddEQ_oneBound/libA , equiv; 1.094600, equiv; 1.304200
./nestedMerge/EQ_oddEQ_oneN2/libA , equiv; 3.327500, equiv; 4.208700
./nestedMerge/EQ_oddEQ_pos/libA , equiv; 12.413300, equiv; 12.483800
./nestedMerge/EQ_oddEQ_pos2/libA , equiv; 0.330400, equiv; 0.549500
./nestedMerge/EQ_oddEQ_pos3/libA , equiv; 1.394700, equiv; 1.306400
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA , equiv; 83.739300, equiv; 61.385800
./nestedMerge/EQ_oddNEQ_LoopMult20/libA , equiv; 2.135900, equiv; 2.056000
