Instance Name, CC2 Result, CLEVER Result, Reve Result
./multLibs/EQ_is_prime1/11 , equiv; 1.230000, equiv; 0.280000, unknown; 0.020000
./multLibs/EQ_is_prime1/12 , equiv; 1.320000, equiv; 0.270000, unknown; 0.020000
./multLibs/EQ_is_prime1/13 , equiv; 1.500000, equiv; 0.270000, unknown; 0.020000
./multLibs/EQ_is_prime1/14 , equiv; 1.570000, equiv; 0.290000, unknown; 0.030000
./multLibs/EQ_is_prime1/15 , equiv; 1.690000, equiv; 0.280000, unknown; 0.020000
./multLibs/EQ_is_prime1/2 , equiv; 0.580000, equiv; 0.260000, unknown; 0.020000
./multLibs/EQ_is_prime1/3 , equiv; 0.630000, equiv; 0.260000, unknown; 0.020000
./multLibs/EQ_is_prime1/4 , equiv; 0.670000, equiv; 0.240000, unknown; 0.020000
./multLibs/EQ_is_prime1/5 , equiv; 0.720000, equiv; 0.260000, unknown; 0.020000
./multLibs/EQ_is_prime1/6 , equiv; 0.790000, equiv; 0.260000, unknown; 0.020000
./multLibs/EQ_is_prime1/7 , equiv; 0.870000, equiv; 0.260000, unknown; 0.020000
./multLibs/EQ_is_prime1/8 , equiv; 0.940000, equiv; 0.270000, unknown; 0.020000
./multLibs/EQ_is_prime1/9 , equiv; 1.040000, equiv; 0.270000, unknown; 0.020000
./multLibs/EQ_is_prime2/1 , not equiv; 1.720000, not equiv; 0.880000, unknown; 0.020000
./multLibs/EQ_is_prime2/10 , not equiv; 37.580000, not equiv; 164.780000, unknown; 0.100000
./multLibs/EQ_is_prime2/11 , not equiv; 40.330000, timeout; 300.000000, unknown; 0.110000
./multLibs/EQ_is_prime2/12 , timeout; 300.000000, timeout; 300.000000, unknown; 0.120000
./multLibs/EQ_is_prime2/13 , timeout; 300.000000, timeout; 300.000000, unknown; 0.140000
./multLibs/EQ_is_prime2/14 , timeout; 300.000000, timeout; 300.000000, unknown; 0.160000
./multLibs/EQ_is_prime2/15 , timeout; 300.000000, timeout; 300.000000, unknown; 0.170000
./multLibs/EQ_is_prime2/2 , not equiv; 2.470000, not equiv; 1.540000, unknown; 0.030000
./multLibs/EQ_is_prime2/3 , not equiv; 3.440000, not equiv; 2.310000, unknown; 0.030000
./multLibs/EQ_is_prime2/4 , not equiv; 4.400000, not equiv; 3.120000, unknown; 0.040000
./multLibs/EQ_is_prime2/5 , not equiv; 5.620000, not equiv; 4.690000, unknown; 0.050000
./multLibs/EQ_is_prime2/6 , not equiv; 7.110000, not equiv; 7.680000, unknown; 0.060000
./multLibs/EQ_is_prime2/7 , not equiv; 8.950000, not equiv; 14.900000, unknown; 0.070000
./multLibs/EQ_is_prime2/8 , not equiv; 11.850000, not equiv; 32.680000, unknown; 0.080000
./multLibs/EQ_is_prime2/9 , not equiv; 45.720000, not equiv; 69.360000, unknown; 0.090000
./multLibs/EQ_is_prime3/1 , equiv; 3.710000, equiv; 0.900000, unknown; 0.020000
./multLibs/EQ_is_prime3/10 , equiv; 170.140000, timeout; 300.000000, unknown; 0.090000
./multLibs/EQ_is_prime3/11 , equiv; 249.930000, timeout; 300.000000, unknown; 0.110000
./multLibs/EQ_is_prime3/12 , timeout; 300.000000, timeout; 300.000000, unknown; 0.120000
./multLibs/EQ_is_prime3/13 , timeout; 300.000000, timeout; 300.000000, unknown; 0.130000
./multLibs/EQ_is_prime3/14 , timeout; 300.000000, timeout; 300.000000, unknown; 0.150000
./multLibs/EQ_is_prime3/15 , timeout; 300.000000, timeout; 300.000000, unknown; 0.160000
./multLibs/EQ_is_prime3/2 , equiv; 14.320000, equiv; 2.040000, unknown; 0.030000
./multLibs/EQ_is_prime3/3 , equiv; 10.190000, equiv; 17.820000, unknown; 0.030000
./multLibs/EQ_is_prime3/4 , equiv; 15.540000, timeout; 300.000000, unknown; 0.040000
./multLibs/EQ_is_prime3/5 , equiv; 23.430000, timeout; 300.000000, unknown; 0.050000
./multLibs/EQ_is_prime3/6 , equiv; 34.410000, timeout; 300.000000, unknown; 0.060000
./multLibs/EQ_is_prime3/7 , equiv; 52.120000, timeout; 300.000000, unknown; 0.060000
./multLibs/EQ_is_prime3/8 , equiv; 78.410000, timeout; 300.000000, unknown; 0.070000
./multLibs/EQ_is_prime3/9 , equiv; 115.250000, timeout; 300.000000, unknown; 0.080000
./multLibs/EQ_ltfive/1 , not equiv; 0.820000, not equiv; 0.330000, equiv; 0.030000
./multLibs/EQ_ltfive/10 , not equiv; 42.160000, not equiv; 277.440000, unknown; 113.680000
./multLibs/EQ_ltfive/11 , not equiv; 37.690000, timeout; 300.000000, unknown; 114.580000
./multLibs/EQ_ltfive/12 , equiv; 52.130000, timeout; 300.000000, unknown; 117.480000
./multLibs/EQ_ltfive/13 , equiv; 54.800000, timeout; 300.000000, unknown; 121.180000
./multLibs/EQ_ltfive/14 , equiv; 57.470000, timeout; 300.000000, unknown; 131.080000
./multLibs/EQ_ltfive/15 , equiv; 60.820000, timeout; 300.000000, unknown; 153.480000
./multLibs/EQ_ltfive/2 , not equiv; 1.410000, not equiv; 0.500000, equiv; 0.060000
./multLibs/EQ_ltfive/3 , not equiv; 1.710000, not equiv; 0.760000, equiv; 0.250000
./multLibs/EQ_ltfive/4 , not equiv; 2.390000, not equiv; 0.970000, equiv; 1.400000
./multLibs/EQ_ltfive/5 , not equiv; 4.030000, not equiv; 2.220000, equiv; 7.780000
./multLibs/EQ_ltfive/6 , not equiv; 10.000000, not equiv; 6.230000, equiv; 39.300000
./multLibs/EQ_ltfive/7 , not equiv; 35.190000, not equiv; 35.260000, equiv; 195.370000
./multLibs/EQ_ltfive/8 , not equiv; 30.110000, not equiv; 143.400000, unknown; 143.580000
./multLibs/EQ_ltfive/9 , not equiv; 43.620000, not equiv; 163.190000, unknown; 114.580000
./multLibs/EQ_ltfiveBound/1 , equiv; 0.680000, equiv; 0.340000, equiv; 0.040000
./multLibs/EQ_ltfiveBound/10 , equiv; 29.140000, timeout; 300.000000, unknown; 168.880000
./multLibs/EQ_ltfiveBound/11 , equiv; 32.170000, timeout; 300.000000, unknown; 294.880000
./multLibs/EQ_ltfiveBound/12 , equiv; 35.480000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_ltfiveBound/13 , equiv; 41.970000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_ltfiveBound/14 , equiv; 48.460000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_ltfiveBound/15 , equiv; 68.270000, timeout; 300.000000, timeout; 300.000000
./multLibs/EQ_ltfiveBound/2 , equiv; 0.920000, equiv; 0.400000, equiv; 0.270000
./multLibs/EQ_ltfiveBound/3 , equiv; 1.410000, equiv; 0.500000, equiv; 6.740000
./multLibs/EQ_ltfiveBound/4 , equiv; 2.080000, equiv; 0.670000, equiv; 278.500000
./multLibs/EQ_ltfiveBound/5 , equiv; 3.400000, equiv; 1.230000, timeout; 300.000000
./multLibs/EQ_ltfiveBound/6 , equiv; 5.430000, equiv; 3.870000, unknown; 119.090000
./multLibs/EQ_ltfiveBound/7 , equiv; 12.940000, equiv; 18.200000, unknown; 117.290000
./multLibs/EQ_ltfiveBound/8 , equiv; 23.040000, equiv; 94.520000, unknown; 121.590000
./multLibs/EQ_ltfiveBound/9 , equiv; 26.060000, timeout; 300.000000, unknown; 133.390000
./multLibs/EQ_multiple/1 , not equiv; 0.710000, not equiv; 0.380000, equiv; 0.020000
./multLibs/EQ_multiple/10 , not equiv; 20.650000, not equiv; 223.550000, equiv; 0.040000
./multLibs/EQ_multiple/11 , not equiv; 22.320000, not equiv; 275.940000, equiv; 0.040000
./multLibs/EQ_multiple/12 , not equiv; 20.190000, timeout; 300.000000, equiv; 0.040000
./multLibs/EQ_multiple/13 , not equiv; 24.370000, timeout; 300.000000, equiv; 0.040000
./multLibs/EQ_multiple/14 , not equiv; 28.160000, timeout; 300.000000, equiv; 0.050000
./multLibs/EQ_multiple/15 , not equiv; 26.860000, not equiv; 290.030000, equiv; 0.050000
./multLibs/EQ_multiple/2 , not equiv; 1.420000, not equiv; 0.540000, equiv; 0.020000
./multLibs/EQ_multiple/3 , not equiv; 1.790000, not equiv; 0.660000, equiv; 0.020000
./multLibs/EQ_multiple/4 , not equiv; 14.350000, not equiv; 0.900000, equiv; 0.030000
./multLibs/EQ_multiple/5 , not equiv; 3.240000, not equiv; 1.120000, equiv; 0.030000
./multLibs/EQ_multiple/6 , not equiv; 4.240000, not equiv; 1.960000, equiv; 0.030000
./multLibs/EQ_multiple/7 , not equiv; 10.520000, not equiv; 5.120000, equiv; 0.040000
./multLibs/EQ_multiple/8 , not equiv; 15.760000, not equiv; 19.720000, equiv; 0.030000
./multLibs/EQ_multiple/9 , not equiv; 18.430000, not equiv; 85.590000, equiv; 0.040000
./multLibs/EQ_multipleBound/1 , equiv; 1.440000, equiv; 0.460000, equiv; 0.030000
./multLibs/EQ_multipleBound/10 , equiv; 17.250000, equiv; 81.650000, unknown; 118.090000
./multLibs/EQ_multipleBound/11 , equiv; 18.610000, equiv; 261.820000, unknown; 117.790000
./multLibs/EQ_multipleBound/12 , equiv; 19.920000, equiv; 299.190000, unknown; 122.690000
./multLibs/EQ_multipleBound/13 , equiv; 21.480000, timeout; 300.000000, unknown; 123.990000
