Instance Name, CC2 Result, CLEVER Result, Reve Result
./nestedMerge/EQ_oddEQ_Const/libA , equiv; 0.158100, equiv; 0.106700, equiv; 0.020000
./nestedMerge/EQ_oddEQ_LoopMult20/libA , equiv; 1.822000, equiv; 0.366000, equiv; 22.710000
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA , equiv; 1.245300, equiv; 0.149100, equiv; 0.020000
./nestedMerge/EQ_oddEQ_UnchLoop/libA , equiv; 40.290200, equiv; 0.105200, equiv; 0.100000
./nestedMerge/EQ_oddEQ_divide/libA , equiv; 0.178500, equiv; 0.150300, equiv; 0.020000
./nestedMerge/EQ_oddEQ_getSign2/libA , equiv; 0.965600, equiv; 0.150300, equiv; 0.020000
./nestedMerge/EQ_oddEQ_is_prime1/libA , equiv; 1.027000, equiv; 0.093600, unknown; 0.020000
./nestedMerge/EQ_oddEQ_is_prime2/libA , not equiv; 1.552500, not equiv; 0.761500, unknown; 0.020000
./nestedMerge/EQ_oddEQ_is_prime3/libA , equiv; 26.811600, equiv; 0.768800, unknown; 0.020000
./nestedMerge/EQ_oddEQ_ltfive/libA , not equiv; 0.670800, not equiv; 0.329700, equiv; 0.030000
./nestedMerge/EQ_oddEQ_ltfiveBound/libA , equiv; 0.453200, equiv; 0.287300, equiv; 0.040000
./nestedMerge/EQ_oddEQ_multiple/libA , not equiv; 0.470900, not equiv; 0.235100, equiv; 0.020000
./nestedMerge/EQ_oddEQ_multipleBound/libA , equiv; 1.079400, equiv; 0.324600, equiv; 0.020000
./nestedMerge/EQ_oddEQ_odd/libA , equiv; 12.515200, timeout; 300.000000, unknown; 0.010000
./nestedMerge/EQ_oddEQ_one/libA , not equiv; 0.741800, not equiv; 0.213900, not equiv; 0.030000
./nestedMerge/EQ_oddEQ_oneBound/libA , equiv; 0.480400, equiv; 0.249700, equiv; 0.030000
./nestedMerge/EQ_oddEQ_oneN2/libA , equiv; 1.417900, equiv; 0.221000, equiv; 0.020000
./nestedMerge/EQ_oddEQ_pos/libA , equiv; 11.297600, timeout; 300.000000, unknown; 0.020000
./nestedMerge/EQ_oddEQ_pos2/libA , equiv; 0.296300, timeout; 300.000000, not equiv; 0.030000
./nestedMerge/EQ_oddEQ_pos3/libA , equiv; 1.189400, equiv; 0.141600, equiv; 0.030000
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA , equiv; 76.056200, timeout; 300.000000, unknown; 0.160000
./nestedMerge/EQ_oddNEQ_LoopMult20/libA , equiv; 1.863400, equiv; 0.368400, equiv; 22.360000
